country,Year,predicted_hydro_generation _generation,predicted_hydro_consumption_consumption
China,2027,1690.9225614215761,1690.921821088723
Colombia,2021,49.14719865882762,41.46389268539524
Colombia,2022,53.873947419534446,47.698608893381255
Colombia,2023,58.04252121460156,51.51078176049796
Colombia,2024,53.93646874356953,53.16662470489815
Colombia,2025,49.4763699208833,49.685333711207846
Colombia,2026,48.03036424966151,44.7738869644843
Colombia,2027,52.21818963631193,44.85278125788353
Croatia,2021,5.4457805812496805,5.530395541552451
Croatia,2022,6.176875263315297,6.154034361859114
Croatia,2023,6.094980334076488,6.174034861707014
Croatia,2024,5.871698577264143,5.874807383646497
Croatia,2025,5.093273841956174,5.161059808042022
Croatia,2026,5.865005095942646,5.92297692787302
Croatia,2027,6.040885164386582,6.08646705321336
Cyprus,2021,0.0,0.0
Cyprus,2022,0.0,0.0
