country,Year,predicted_solar_generation (twh)_generation,predicted_solar_consumption_consumption
Colombia,2025,0.17134961401367918,0.17081549070469376
Colombia,2026,0.17211450742731874,0.17006315186513607
Colombia,2027,0.17262007421462558,0.16993399548069976
Croatia,2021,0.11042789277319615,0.090287965
Croatia,2022,0.1211545908537733,0.095624718
Croatia,2023,0.1266406455344655,0.098981995
Croatia,2024,0.12112892376863182,0.10241364265794377
Croatia,2025,0.12539837088359057,0.10369118827290193
Croatia,2026,0.1339731947158312,0.10500556120857304
Croatia,2027,0.13843132555035648,0.10628459808283419
Cyprus,2021,0.35052595290382527,0.4329863333362519
Cyprus,2022,0.41494745462308114,0.5445677988186945
Cyprus,2023,0.4632636582446953,0.6529547081560573
Cyprus,2024,0.4825632420159213,0.6948865699617225
Cyprus,2025,0.5406950715241076,0.7418427867486113
